197	0.0003080368	328190	1904	5
198	3.2901763916E-005	328190	2268	6
199	0.0004370213	328191	1968	5
200	0.0015079975	328191	3180	9
202	0.0035090446	328191	1600	4
203	0.0003540516	328190	1692	5
204	0.000715971	328190	1782	5
206	0.0006120205	328191	1752	5
207	0.000387907	328191	2016	6
208	0.0012009144	328191	1874	5
216	0.0082669258	328190	1600	4
195	0.0012660027	328190	1966	5
196	0.0010778904	328191	2402	7
197	0.0052218437	328191	2158	6
198	0.001388073	328191	1732	5
199	0.0020210743	328191	1956	5
200	0.0028870106	328191	2086	6
202	0.0049209595	328191	1620	4
203	0.0016949177	328190	1682	5
204	0.0024340153	328191	3250	9
205	0.0046448708	328191	2898	8
206	0.0022399426	328191	2088	6
207	0.001816988	328191	2118	6
208	0.0032758713	328191	1854	5
216	0.0082759857	328191	1620	4
218	0.0120668411	328191	1854	5
223	0.0135970116	328190	1600	4
224	0.0129640102	328191	1600	4
225	0.0132079124	328191	1782	5
229	0.0127680302	328191	1600	4
230	0.0123689175	328191	2056	6
231	0.0125699043	328191	1600	4
240	0.0134010315	328191	1854	5
195	0.0012800694	328190	1896	5
196	0.0010859966	328191	2382	7
197	0.00522995	328191	2878	8
198	0.0013949871	328190	2156	6
199	0.0020289421	328191	2404	7
200	0.0028939247	328191	1956	5
202	0.0049290657	328191	1702	5
203	0.0017008781	328191	1620	4
204	0.0024418831	328190	2258	6
205	0.0054709911	328191	2424	7
206	0.0022480488	328191	1986	6
207	0.0018239021	328191	2078	6
208	0.0032839775	328191	2118	6
216	0.0082828999	328190	1732	5
218	0.012075901	328191	1966	5
223	0.0136048794	328190	1976	6
224	0.0129730701	328190	1682	5
225	0.0132160187	328190	1944	5
228	0.0164289474	328191	1600	4
229	0.012775898	328190	1722	5
230	0.0123770237	328191	1844	5
231	0.0125770569	328191	1620	4
240	0.013409853	328191	2546	7
241	0.0159099102	328190	2140	6
249	0.0168230534	328191	1600	4
250	0.0162189007	328190	1600	4
251	0.0174210072	328190	2150	6
252	0.0170168877	328190	1600	4
272	0.0172269344	328191	1600	4
10	0.0166249275	328191	1914	5
15	0.0176239014	328191	2078	6
79	0.0178198814	328190	2128	6
195	0.0012869835	328190	1600	4
196	0.0010929108	328190	1956	5
197	0.0052368641	328190	1986	6
198	0.0014019012	328191	3310	10
199	0.0020339489	328191	1874	5
200	0.0029008389	328191	1976	6
202	0.0049359798	328191	1600	4
203	0.0017080307	328190	1600	4
204	0.0024478436	328190	1865	5
205	0.0054779053	328191	2826	8
206	0.0022540092	328191	2108	6
207	0.0018298626	328191	2108	6
208	0.003289938	328191	1976	6
216	0.0082900524	328190	1600	4
218	0.0120818615	328191	2634	8
222	0.0131719112	300	1000	19000
223	0.0136108398	328190	1966	5
224	0.0129799843	328191	1732	5
225	0.0132229328	328191	1600	4
228	0.0164370537	328191	1702	5
229	0.0127830505	328191	1600	4
230	0.0123848915	328191	1762	5
231	0.012583971	328191	1702	5
240	0.0134160519	328191	2086	6
241	0.0159189701	328191	2006	6
249	0.0168309212	328191	1620	4
250	0.0162279606	328191	1620	4
251	0.0174319744	328191	1824	5
252	0.0170240402	328191	1620	4
262	0.021928072	328191	1600	4
272	0.0172338486	328191	1702	5
10	0.0166330338	328191	2382	7
11	0.0221278667	328191	1966	5
15	0.0176348686	328191	1986	6
79	0.0178289413	328191	2230	6
80	0.0207519531	328191	2250	6
81	0.0227148533	328191	1600	4
82	0.022521019	328191	2058	6
85	0.0209510326	328191	1752	5
87	0.0223259926	328190	1600	4
88	0.0205440521	328191	2270	6
89	0.0215380192	328190	1600	4
91	0.021340847	328191	1600	4
93	0.0211470127	328190	1986	6
97	0.0217318535	328191	1702	5
195	0.001292944	328191	1976	6
196	0.0010979176	328191	1916	5
197	0.005243063	328191	2068	6
198	0.001406908	328190	2360	7
199	0.0020399094	328191	1702	5
200	0.0029058456	328191	2320	7
202	0.0049409866	328191	1600	4
203	0.0017130375	328190	1600	4
204	0.0024528503	328190	3495	10
205	0.0054850578	328191	2434	7
206	0.0022599697	328191	2028	6
207	0.0018360615	328190	2300	7
208	0.0032958984	328191	1824	5
216	0.0082969666	328190	1600	4
218	0.0120890141	328191	2188	6
223	0.0136179924	328190	1834	5
224	0.0129868984	328191	1682	5
225	0.013229847	328191	2176	6
228	0.0164430141	328191	1620	4
229	0.0127899647	328191	1600	4
230	0.012390852	328191	2784	8
231	0.0125908852	328191	1692	5
240	0.013422966	328191	2038	6
241	0.0159268379	328190	2414	7
